Grievance Title,Brief Summary,Category,Department,Detailed Description,Location / Ward No,Priority Level,Attachment Name,Internal Notes,Date Submitted,Status
"Public Safety Issue at Ward 6, Central Zone - 737","Complaint regarding public safety in Ward 6, Central Zone.",Public Safety,Municipal Corporation,"Illegal parking blocking emergency exits in Ward 6, Central Zone.","Ward 6, Central Zone",Low,None,Assigned to Municipal Corporation team.,2025-04-18,In Progress
"Drainage Issue at Ward 6, Central Zone - 813","Complaint regarding drainage in Ward 6, Central Zone.",Drainage,Municipal Corporation,"Monsoon preparation for cleaning drains not started in Ward 6, Central Zone.","Ward 6, Central Zone",Low,evidence_528.jpg,Assigned to Municipal Corporation team.,2025-11-06,Escalated
"Waste Management Issue at Sector 15, Heritage Colony - 235","Complaint regarding waste management in Sector 15, Heritage Colony.",Waste Management,Municipal Corporation,"Biomedical waste found dumped in the residential area of Sector 15, Heritage Colony.","Sector 15, Heritage Colony",High,None,Assigned to Municipal Corporation team.,2025-03-09,New
"Water Supply Issue at Ward 1, Central Zone - 925","Complaint regarding water supply in Ward 1, Central Zone.",Water Supply,Municipal Corporation,"Continuous leakage in the main pipeline near Ward 1, Central Zone.","Ward 1, Central Zone",High,None,Assigned to Municipal Corporation team.,2026-01-17,Resolved
"Education Issue at Ward 6, Central Zone - 509","Complaint regarding education in Ward 6, Central Zone.",Education,Education Department,"Shortage of teaching staff for 23 semesters in Ward 6, Central Zone.","Ward 6, Central Zone",Urgent,None,Assigned to Education Department team.,2026-01-27,Escalated
"Street Lighting Issue at Ward 4, Central Zone - 534","Complaint regarding street lighting in Ward 4, Central Zone.",Street Lighting,Electricity Board,"Dark spots on the road due to non-functional lights in Ward 4, Central Zone.","Ward 4, Central Zone",High,evidence_532.jpg,Assigned to Electricity Board team.,2025-11-30,New
"Street Lighting Issue at Garden City, Phase 3 - 325","Complaint regarding street lighting in Garden City, Phase 3.",Street Lighting,Electricity Board,"New street light poles installed but not connected in Garden City, Phase 3.","Garden City, Phase 3",Medium,evidence_533.jpg,Assigned to Electricity Board team.,2025-06-11,In Progress
"Sanitation Issue at Ward 2, Central Zone - 668","Complaint regarding sanitation in Ward 2, Central Zone.",Sanitation,Municipal Corporation,"Illegal dumping of construction waste in Ward 2, Central Zone.","Ward 2, Central Zone",Low,evidence_534.jpg,Assigned to Municipal Corporation team.,2025-05-26,New
"Water Supply Issue at Garden City, Phase 2 - 372","Complaint regarding water supply in Garden City, Phase 2.",Water Supply,Municipal Corporation,"Low pressure water being received at Garden City, Phase 2.","Garden City, Phase 2",Urgent,None,Assigned to Municipal Corporation team.,2025-07-10,In Progress
"Sanitation Issue at Sector 15, Heritage Colony - 875","Complaint regarding sanitation in Sector 15, Heritage Colony.",Sanitation,Health & Family Welfare,"Drainage blockage causing water logging in Sector 15, Heritage Colony.","Sector 15, Heritage Colony",Medium,None,Assigned to Health & Family Welfare team.,2025-11-05,New
"Sanitation Issue at Sector 12, Heritage Colony - 382","Complaint regarding sanitation in Sector 12, Heritage Colony.",Sanitation,Health & Family Welfare,"Illegal dumping of construction waste in Sector 12, Heritage Colony.","Sector 12, Heritage Colony",Urgent,None,Assigned to Health & Family Welfare team.,2025-11-28,In Progress
"Street Lighting Issue at Sector 16, Heritage Colony - 155","Complaint regarding street lighting in Sector 16, Heritage Colony.",Street Lighting,Municipal Corporation,"Dark spots on the road due to non-functional lights in Sector 16, Heritage Colony.","Sector 16, Heritage Colony",Medium,None,Assigned to Municipal Corporation team.,2025-10-29,New
"Water Supply Issue at Ward 3, Central Zone - 501","Complaint regarding water supply in Ward 3, Central Zone.",Water Supply,Public Works Department (PWD),"No water supply for the last 43 days in Ward 3, Central Zone.","Ward 3, Central Zone",Medium,None,Assigned to Public Works Department (PWD) team.,2025-05-31,In Progress
"Roads & Infrastructure Issue at Garden City, Phase 2 - 532","Complaint regarding roads & infrastructure in Garden City, Phase 2.",Roads & Infrastructure,Public Works Department (PWD),"Road construction halted for 33 months in Garden City, Phase 2.","Garden City, Phase 2",Low,None,Assigned to Public Works Department (PWD) team.,2025-09-05,In Progress
"Electricity Issue at Ward 7, Central Zone - 841","Complaint regarding electricity in Ward 7, Central Zone.",Electricity,Electricity Board,"Frequent power cuts without notice in Ward 7, Central Zone.","Ward 7, Central Zone",Urgent,None,Assigned to Electricity Board team.,2025-08-29,Escalated
"Street Lighting Issue at Ward 6, Central Zone - 403","Complaint regarding street lighting in Ward 6, Central Zone.",Street Lighting,Electricity Board,"Dark spots on the road due to non-functional lights in Ward 6, Central Zone.","Ward 6, Central Zone",High,None,Assigned to Electricity Board team.,2025-05-24,Resolved
"Waste Management Issue at Ward 6, Central Zone - 218","Complaint regarding waste management in Ward 6, Central Zone.",Waste Management,Municipal Corporation,"Biomedical waste found dumped in the residential area of Ward 6, Central Zone.","Ward 6, Central Zone",Medium,evidence_543.jpg,Assigned to Municipal Corporation team.,2026-01-27,New
"Street Lighting Issue at Sector 12, Heritage Colony - 587","Complaint regarding street lighting in Sector 12, Heritage Colony.",Street Lighting,Electricity Board,"Dark spots on the road due to non-functional lights in Sector 12, Heritage Colony.","Sector 12, Heritage Colony",Medium,evidence_544.jpg,Assigned to Electricity Board team.,2025-09-22,In Progress
"Sanitation Issue at Ward 8, Central Zone - 835","Complaint regarding sanitation in Ward 8, Central Zone.",Sanitation,Municipal Corporation,"Illegal dumping of construction waste in Ward 8, Central Zone.","Ward 8, Central Zone",Low,None,Assigned to Municipal Corporation team.,2025-12-13,Resolved
"Electricity Issue at Ward 10, Central Zone - 726","Complaint regarding electricity in Ward 10, Central Zone.",Electricity,Urban Development Authority,"Electricity bill incorrectly calculated for Ward 10, Central Zone.","Ward 10, Central Zone",Urgent,None,Assigned to Urban Development Authority team.,2025-04-05,Resolved
"Waste Management Issue at Ward 8, Central Zone - 272","Complaint regarding waste management in Ward 8, Central Zone.",Waste Management,Sanitation Department,"Garbage collection truck hasn't visited Ward 8, Central Zone for a week.","Ward 8, Central Zone",Low,None,Assigned to Sanitation Department team.,2025-09-15,In Progress
"Electricity Issue at Ward 8, Central Zone - 579","Complaint regarding electricity in Ward 8, Central Zone.",Electricity,Electricity Board,"Frequent power cuts without notice in Ward 8, Central Zone.","Ward 8, Central Zone",High,evidence_548.jpg,Assigned to Electricity Board team.,2025-05-05,New
"Sanitation Issue at Garden City, Phase 3 - 867","Complaint regarding sanitation in Garden City, Phase 3.",Sanitation,Municipal Corporation,"Public toilets in Garden City, Phase 3 are extremely dirty and unusable.","Garden City, Phase 3",Low,evidence_549.jpg,Assigned to Municipal Corporation team.,2025-07-14,Resolved
"Waste Management Issue at Sector 19, Heritage Colony - 818","Complaint regarding waste management in Sector 19, Heritage Colony.",Waste Management,Municipal Corporation,"Biomedical waste found dumped in the residential area of Sector 19, Heritage Colony.","Sector 19, Heritage Colony",Urgent,None,Assigned to Municipal Corporation team.,2026-02-03,Resolved
"Electricity Issue at Sector 15, Heritage Colony - 394","Complaint regarding electricity in Sector 15, Heritage Colony.",Electricity,Urban Development Authority,"Frequent power cuts without notice in Sector 15, Heritage Colony.","Sector 15, Heritage Colony",Urgent,None,Assigned to Urban Development Authority team.,2025-06-25,Escalated
"Electricity Issue at Ward 1, Central Zone - 844","Complaint regarding electricity in Ward 1, Central Zone.",Electricity,Electricity Board,"Frequent power cuts without notice in Ward 1, Central Zone.","Ward 1, Central Zone",Medium,evidence_552.jpg,Assigned to Electricity Board team.,2025-07-18,New
"Waste Management Issue at Ward 2, Central Zone - 313","Complaint regarding waste management in Ward 2, Central Zone.",Waste Management,Sanitation Department,"Open garbage bin overflowing and spreading disease in Ward 2, Central Zone.","Ward 2, Central Zone",High,None,Assigned to Sanitation Department team.,2025-07-01,New
"Waste Management Issue at Sector 14, Heritage Colony - 288","Complaint regarding waste management in Sector 14, Heritage Colony.",Waste Management,Municipal Corporation,"Illegal burning of waste in the open area of Sector 14, Heritage Colony.","Sector 14, Heritage Colony",Urgent,None,Assigned to Municipal Corporation team.,2025-08-03,Escalated
"Street Lighting Issue at Sector 19, Heritage Colony - 133","Complaint regarding street lighting in Sector 19, Heritage Colony.",Street Lighting,Municipal Corporation,"New street light poles installed but not connected in Sector 19, Heritage Colony.","Sector 19, Heritage Colony",Low,evidence_555.jpg,Assigned to Municipal Corporation team.,2025-10-01,In Progress
"Education Issue at Sector 15, Heritage Colony - 104","Complaint regarding education in Sector 15, Heritage Colony.",Education,Urban Development Authority,"Shortage of teaching staff for 55 semesters in Sector 15, Heritage Colony.","Sector 15, Heritage Colony",Medium,None,Assigned to Urban Development Authority team.,2025-06-30,In Progress
"Street Lighting Issue at Sector 15, Heritage Colony - 397","Complaint regarding street lighting in Sector 15, Heritage Colony.",Street Lighting,Municipal Corporation,"Dark spots on the road due to non-functional lights in Sector 15, Heritage Colony.","Sector 15, Heritage Colony",High,evidence_557.jpg,Assigned to Municipal Corporation team.,2025-06-02,Escalated
"Sanitation Issue at Sector 10, Heritage Colony - 649","Complaint regarding sanitation in Sector 10, Heritage Colony.",Sanitation,Municipal Corporation,"Drainage blockage causing water logging in Sector 10, Heritage Colony.","Sector 10, Heritage Colony",High,None,Assigned to Municipal Corporation team.,2025-07-29,Resolved
"Education Issue at Sector 16, Heritage Colony - 276","Complaint regarding education in Sector 16, Heritage Colony.",Education,Urban Development Authority,"Shortage of teaching staff for 43 semesters in Sector 16, Heritage Colony.","Sector 16, Heritage Colony",Urgent,None,Assigned to Urban Development Authority team.,2025-11-06,Escalated
"Public Safety Issue at Ward 8, Central Zone - 723","Complaint regarding public safety in Ward 8, Central Zone.",Public Safety,Police Department,"Stray animal menace in the parks of Ward 8, Central Zone.","Ward 8, Central Zone",High,None,Assigned to Police Department team.,2025-05-01,In Progress
"Roads & Infrastructure Issue at Sector 10, Heritage Colony - 519","Complaint regarding roads & infrastructure in Sector 10, Heritage Colony.",Roads & Infrastructure,Public Works Department (PWD),"Road construction halted for 12 months in Sector 10, Heritage Colony.","Sector 10, Heritage Colony",Low,evidence_561.jpg,Assigned to Public Works Department (PWD) team.,2026-01-27,Resolved
"Electricity Issue at Ward 4, Central Zone - 946","Complaint regarding electricity in Ward 4, Central Zone.",Electricity,Urban Development Authority,"High voltage fluctuations causing damage to appliances in Ward 4, Central Zone.","Ward 4, Central Zone",Medium,None,Assigned to Urban Development Authority team.,2025-06-01,New
"Water Supply Issue at Ward 6, Central Zone - 938","Complaint regarding water supply in Ward 6, Central Zone.",Water Supply,Municipal Corporation,"Continuous leakage in the main pipeline near Ward 6, Central Zone.","Ward 6, Central Zone",High,None,Assigned to Municipal Corporation team.,2025-06-26,Escalated
"Healthcare Issue at Sector 15, Heritage Colony - 369","Complaint regarding healthcare in Sector 15, Heritage Colony.",Healthcare,Municipal Corporation,"Long waiting hours and no doctors available in Sector 15, Heritage Colony PHC.","Sector 15, Heritage Colony",Low,None,Assigned to Municipal Corporation team.,2025-10-11,New
"Education Issue at Sector 15, Heritage Colony - 260","Complaint regarding education in Sector 15, Heritage Colony.",Education,Education Department,"Shortage of teaching staff for 34 semesters in Sector 15, Heritage Colony.","Sector 15, Heritage Colony",High,None,Assigned to Education Department team.,2025-05-20,Escalated
"Waste Management Issue at Sector 11, Heritage Colony - 430","Complaint regarding waste management in Sector 11, Heritage Colony.",Waste Management,Municipal Corporation,"Garbage collection truck hasn't visited Sector 11, Heritage Colony for a week.","Sector 11, Heritage Colony",Medium,evidence_566.jpg,Assigned to Municipal Corporation team.,2025-08-03,Resolved
"Healthcare Issue at Ward 1, Central Zone - 646","Complaint regarding healthcare in Ward 1, Central Zone.",Healthcare,Municipal Corporation,"Long waiting hours and no doctors available in Ward 1, Central Zone PHC.","Ward 1, Central Zone",Low,evidence_567.jpg,Assigned to Municipal Corporation team.,2025-07-11,New
"Sanitation Issue at Garden City, Phase 2 - 202","Complaint regarding sanitation in Garden City, Phase 2.",Sanitation,Municipal Corporation,"Sewage overflow reported in the back alley of Garden City, Phase 2.","Garden City, Phase 2",High,evidence_568.jpg,Assigned to Municipal Corporation team.,2025-11-06,New
"Drainage Issue at Ward 3, Central Zone - 523","Complaint regarding drainage in Ward 3, Central Zone.",Drainage,Municipal Corporation,"Main drain choked with plastic waste near Ward 3, Central Zone.","Ward 3, Central Zone",High,None,Assigned to Municipal Corporation team.,2025-04-13,New
"Street Lighting Issue at Sector 18, Heritage Colony - 883","Complaint regarding street lighting in Sector 18, Heritage Colony.",Street Lighting,Electricity Board,"Street lights not working for 11 nights in Sector 18, Heritage Colony.","Sector 18, Heritage Colony",Low,None,Assigned to Electricity Board team.,2025-05-05,In Progress
"Waste Management Issue at Sector 16, Heritage Colony - 161","Complaint regarding waste management in Sector 16, Heritage Colony.",Waste Management,Sanitation Department,"Open garbage bin overflowing and spreading disease in Sector 16, Heritage Colony.","Sector 16, Heritage Colony",Low,None,Assigned to Sanitation Department team.,2025-03-15,Escalated
"Electricity Issue at Ward 9, Central Zone - 963","Complaint regarding electricity in Ward 9, Central Zone.",Electricity,Urban Development Authority,"Frequent power cuts without notice in Ward 9, Central Zone.","Ward 9, Central Zone",High,None,Assigned to Urban Development Authority team.,2025-10-22,In Progress
"Sanitation Issue at Garden City, Phase 1 - 743","Complaint regarding sanitation in Garden City, Phase 1.",Sanitation,Health & Family Welfare,"Public toilets in Garden City, Phase 1 are extremely dirty and unusable.","Garden City, Phase 1",High,None,Assigned to Health & Family Welfare team.,2025-06-19,In Progress
"Street Lighting Issue at Sector 12, Heritage Colony - 712","Complaint regarding street lighting in Sector 12, Heritage Colony.",Street Lighting,Electricity Board,"Dark spots on the road due to non-functional lights in Sector 12, Heritage Colony.","Sector 12, Heritage Colony",Low,evidence_574.jpg,Assigned to Electricity Board team.,2025-09-29,Escalated
"Waste Management Issue at Sector 12, Heritage Colony - 602","Complaint regarding waste management in Sector 12, Heritage Colony.",Waste Management,Sanitation Department,"Biomedical waste found dumped in the residential area of Sector 12, Heritage Colony.","Sector 12, Heritage Colony",Medium,None,Assigned to Sanitation Department team.,2025-06-21,New
"Sanitation Issue at Sector 14, Heritage Colony - 946","Complaint regarding sanitation in Sector 14, Heritage Colony.",Sanitation,Municipal Corporation,"Drainage blockage causing water logging in Sector 14, Heritage Colony.","Sector 14, Heritage Colony",Urgent,None,Assigned to Municipal Corporation team.,2025-12-23,In Progress
"Water Supply Issue at Sector 11, Heritage Colony - 756","Complaint regarding water supply in Sector 11, Heritage Colony.",Water Supply,Public Works Department (PWD),"Contaminated water with foul smell reported at Sector 11, Heritage Colony.","Sector 11, Heritage Colony",Urgent,evidence_577.jpg,Assigned to Public Works Department (PWD) team.,2025-12-21,Resolved
"Electricity Issue at Ward 3, Central Zone - 287","Complaint regarding electricity in Ward 3, Central Zone.",Electricity,Urban Development Authority,"High voltage fluctuations causing damage to appliances in Ward 3, Central Zone.","Ward 3, Central Zone",Medium,evidence_578.jpg,Assigned to Urban Development Authority team.,2026-02-21,In Progress
"Water Supply Issue at Ward 1, Central Zone - 615","Complaint regarding water supply in Ward 1, Central Zone.",Water Supply,Municipal Corporation,"Low pressure water being received at Ward 1, Central Zone.","Ward 1, Central Zone",Urgent,None,Assigned to Municipal Corporation team.,2025-08-26,Escalated
"Public Safety Issue at Ward 9, Central Zone - 294","Complaint regarding public safety in Ward 9, Central Zone.",Public Safety,Police Department,"Lack of police patrolling observed during night in Ward 9, Central Zone.","Ward 9, Central Zone",Urgent,None,Assigned to Police Department team.,2025-05-14,New
"Education Issue at Ward 7, Central Zone - 548","Complaint regarding education in Ward 7, Central Zone.",Education,Urban Development Authority,"Shortage of teaching staff for 53 semesters in Ward 7, Central Zone.","Ward 7, Central Zone",High,None,Assigned to Urban Development Authority team.,2025-03-18,New
"Water Supply Issue at Ward 10, Central Zone - 125","Complaint regarding water supply in Ward 10, Central Zone.",Water Supply,Public Works Department (PWD),"No water supply for the last 20 days in Ward 10, Central Zone.","Ward 10, Central Zone",Urgent,None,Assigned to Public Works Department (PWD) team.,2025-09-16,Escalated
"Street Lighting Issue at Ward 6, Central Zone - 909","Complaint regarding street lighting in Ward 6, Central Zone.",Street Lighting,Electricity Board,"Dark spots on the road due to non-functional lights in Ward 6, Central Zone.","Ward 6, Central Zone",High,None,Assigned to Electricity Board team.,2025-06-29,Resolved
"Waste Management Issue at Sector 17, Heritage Colony - 405","Complaint regarding waste management in Sector 17, Heritage Colony.",Waste Management,Municipal Corporation,"Open garbage bin overflowing and spreading disease in Sector 17, Heritage Colony.","Sector 17, Heritage Colony",Medium,None,Assigned to Municipal Corporation team.,2025-12-26,In Progress
"Education Issue at Ward 7, Central Zone - 784","Complaint regarding education in Ward 7, Central Zone.",Education,Urban Development Authority,"School building in Ward 7, Central Zone needs urgent structural repairs.","Ward 7, Central Zone",Urgent,None,Assigned to Urban Development Authority team.,2025-07-27,Escalated
"Water Supply Issue at Garden City, Phase 3 - 246","Complaint regarding water supply in Garden City, Phase 3.",Water Supply,Municipal Corporation,"No water supply for the last 50 days in Garden City, Phase 3.","Garden City, Phase 3",Medium,None,Assigned to Municipal Corporation team.,2025-06-03,New
"Sanitation Issue at Ward 3, Central Zone - 807","Complaint regarding sanitation in Ward 3, Central Zone.",Sanitation,Health & Family Welfare,"Public toilets in Ward 3, Central Zone are extremely dirty and unusable.","Ward 3, Central Zone",Medium,None,Assigned to Health & Family Welfare team.,2025-10-06,Escalated
"Roads & Infrastructure Issue at Ward 6, Central Zone - 929","Complaint regarding roads & infrastructure in Ward 6, Central Zone.",Roads & Infrastructure,Urban Development Authority,"Road construction halted for 38 months in Ward 6, Central Zone.","Ward 6, Central Zone",Urgent,None,Assigned to Urban Development Authority team.,2025-12-05,Resolved
"Healthcare Issue at Ward 4, Central Zone - 409","Complaint regarding healthcare in Ward 4, Central Zone.",Healthcare,Municipal Corporation,"Unsanitary conditions in the ward area of Ward 4, Central Zone hospital.","Ward 4, Central Zone",Low,None,Assigned to Municipal Corporation team.,2025-09-07,In Progress
"Sanitation Issue at Sector 18, Heritage Colony - 201","Complaint regarding sanitation in Sector 18, Heritage Colony.",Sanitation,Municipal Corporation,"Illegal dumping of construction waste in Sector 18, Heritage Colony.","Sector 18, Heritage Colony",Medium,None,Assigned to Municipal Corporation team.,2025-10-07,New
"Electricity Issue at Garden City, Phase 5 - 801","Complaint regarding electricity in Garden City, Phase 5.",Electricity,Urban Development Authority,"Frequent power cuts without notice in Garden City, Phase 5.","Garden City, Phase 5",High,evidence_591.jpg,Assigned to Urban Development Authority team.,2025-11-24,Resolved
"Street Lighting Issue at Sector 11, Heritage Colony - 699","Complaint regarding street lighting in Sector 11, Heritage Colony.",Street Lighting,Municipal Corporation,"Street lights not working for 16 nights in Sector 11, Heritage Colony.","Sector 11, Heritage Colony",Low,evidence_592.jpg,Assigned to Municipal Corporation team.,2026-02-02,Escalated
"Education Issue at Garden City, Phase 1 - 649","Complaint regarding education in Garden City, Phase 1.",Education,Education Department,"School building in Garden City, Phase 1 needs urgent structural repairs.","Garden City, Phase 1",Medium,None,Assigned to Education Department team.,2025-10-10,Escalated
"Water Supply Issue at Ward 1, Central Zone - 308","Complaint regarding water supply in Ward 1, Central Zone.",Water Supply,Municipal Corporation,"Continuous leakage in the main pipeline near Ward 1, Central Zone.","Ward 1, Central Zone",Low,evidence_594.jpg,Assigned to Municipal Corporation team.,2025-11-24,New
"Roads & Infrastructure Issue at Ward 4, Central Zone - 602","Complaint regarding roads & infrastructure in Ward 4, Central Zone.",Roads & Infrastructure,Public Works Department (PWD),"Illegal speed breaker installed at Ward 4, Central Zone.","Ward 4, Central Zone",Urgent,None,Assigned to Public Works Department (PWD) team.,2025-08-12,Escalated
"Public Safety Issue at Garden City, Phase 5 - 891","Complaint regarding public safety in Garden City, Phase 5.",Public Safety,Municipal Corporation,"Lack of police patrolling observed during night in Garden City, Phase 5.","Garden City, Phase 5",High,None,Assigned to Municipal Corporation team.,2025-06-21,New
"Roads & Infrastructure Issue at Sector 12, Heritage Colony - 934","Complaint regarding roads & infrastructure in Sector 12, Heritage Colony.",Roads & Infrastructure,Urban Development Authority,"Illegal speed breaker installed at Sector 12, Heritage Colony.","Sector 12, Heritage Colony",Urgent,None,Assigned to Urban Development Authority team.,2025-12-03,New
"Public Safety Issue at Ward 9, Central Zone - 460","Complaint regarding public safety in Ward 9, Central Zone.",Public Safety,Municipal Corporation,"Increase in petty thefts reported in Ward 9, Central Zone after 9 PM.","Ward 9, Central Zone",Urgent,None,Assigned to Municipal Corporation team.,2025-10-11,New
"Sanitation Issue at Garden City, Phase 5 - 641","Complaint regarding sanitation in Garden City, Phase 5.",Sanitation,Health & Family Welfare,"Sewage overflow reported in the back alley of Garden City, Phase 5.","Garden City, Phase 5",Medium,evidence_599.jpg,Assigned to Health & Family Welfare team.,2025-04-07,Resolved
"Healthcare Issue at Sector 10, Heritage Colony - 163","Complaint regarding healthcare in Sector 10, Heritage Colony.",Healthcare,Municipal Corporation,"Long waiting hours and no doctors available in Sector 10, Heritage Colony PHC.","Sector 10, Heritage Colony",High,evidence_600.jpg,Assigned to Municipal Corporation team.,2025-07-07,In Progress
"Sanitation Issue at Sector 16, Heritage Colony - 845","Complaint regarding sanitation in Sector 16, Heritage Colony.",Sanitation,Health & Family Welfare,"Illegal dumping of construction waste in Sector 16, Heritage Colony.","Sector 16, Heritage Colony",Urgent,None,Assigned to Health & Family Welfare team.,2025-10-28,New
"Waste Management Issue at Garden City, Phase 4 - 745","Complaint regarding waste management in Garden City, Phase 4.",Waste Management,Sanitation Department,"Garbage collection truck hasn't visited Garden City, Phase 4 for a week.","Garden City, Phase 4",Medium,evidence_602.jpg,Assigned to Sanitation Department team.,2025-04-25,Escalated
"Water Supply Issue at Ward 5, Central Zone - 331","Complaint regarding water supply in Ward 5, Central Zone.",Water Supply,Municipal Corporation,"Contaminated water with foul smell reported at Ward 5, Central Zone.","Ward 5, Central Zone",Urgent,None,Assigned to Municipal Corporation team.,2025-08-13,Escalated
"Street Lighting Issue at Ward 6, Central Zone - 494","Complaint regarding street lighting in Ward 6, Central Zone.",Street Lighting,Municipal Corporation,"Flickering street light causing disturbance in Ward 6, Central Zone.","Ward 6, Central Zone",Medium,None,Assigned to Municipal Corporation team.,2025-08-04,Escalated
"Sanitation Issue at Sector 19, Heritage Colony - 845","Complaint regarding sanitation in Sector 19, Heritage Colony.",Sanitation,Health & Family Welfare,"Illegal dumping of construction waste in Sector 19, Heritage Colony.","Sector 19, Heritage Colony",Urgent,evidence_605.jpg,Assigned to Health & Family Welfare team.,2025-05-05,Escalated
"Sanitation Issue at Sector 11, Heritage Colony - 637","Complaint regarding sanitation in Sector 11, Heritage Colony.",Sanitation,Municipal Corporation,"Public toilets in Sector 11, Heritage Colony are extremely dirty and unusable.","Sector 11, Heritage Colony",Medium,None,Assigned to Municipal Corporation team.,2025-04-10,Resolved
"Healthcare Issue at Sector 16, Heritage Colony - 855","Complaint regarding healthcare in Sector 16, Heritage Colony.",Healthcare,Health & Family Welfare,"Government clinic in Sector 16, Heritage Colony lacks basic medicines.","Sector 16, Heritage Colony",High,None,Assigned to Health & Family Welfare team.,2025-04-03,New
"Sanitation Issue at Ward 5, Central Zone - 633","Complaint regarding sanitation in Ward 5, Central Zone.",Sanitation,Municipal Corporation,"Public toilets in Ward 5, Central Zone are extremely dirty and unusable.","Ward 5, Central Zone",High,None,Assigned to Municipal Corporation team.,2025-06-19,Escalated
"Street Lighting Issue at Ward 7, Central Zone - 891","Complaint regarding street lighting in Ward 7, Central Zone.",Street Lighting,Electricity Board,"Street lights not working for 11 nights in Ward 7, Central Zone.","Ward 7, Central Zone",Low,evidence_609.jpg,Assigned to Electricity Board team.,2025-12-19,Resolved
"Waste Management Issue at Sector 17, Heritage Colony - 769","Complaint regarding waste management in Sector 17, Heritage Colony.",Waste Management,Municipal Corporation,"Biomedical waste found dumped in the residential area of Sector 17, Heritage Colony.","Sector 17, Heritage Colony",Medium,None,Assigned to Municipal Corporation team.,2025-08-09,Resolved
"Water Supply Issue at Ward 8, Central Zone - 441","Complaint regarding water supply in Ward 8, Central Zone.",Water Supply,Municipal Corporation,"Contaminated water with foul smell reported at Ward 8, Central Zone.","Ward 8, Central Zone",Medium,None,Assigned to Municipal Corporation team.,2025-03-07,Resolved
"Drainage Issue at Ward 8, Central Zone - 826","Complaint regarding drainage in Ward 8, Central Zone.",Drainage,Public Works Department (PWD),"Drain cover missing, posing a risk to children in Ward 8, Central Zone.","Ward 8, Central Zone",Urgent,None,Assigned to Public Works Department (PWD) team.,2025-05-17,New
"Sanitation Issue at Ward 9, Central Zone - 324","Complaint regarding sanitation in Ward 9, Central Zone.",Sanitation,Municipal Corporation,"Sewage overflow reported in the back alley of Ward 9, Central Zone.","Ward 9, Central Zone",High,evidence_613.jpg,Assigned to Municipal Corporation team.,2025-08-21,In Progress
"Street Lighting Issue at Sector 12, Heritage Colony - 269","Complaint regarding street lighting in Sector 12, Heritage Colony.",Street Lighting,Municipal Corporation,"Flickering street light causing disturbance in Sector 12, Heritage Colony.","Sector 12, Heritage Colony",Low,evidence_614.jpg,Assigned to Municipal Corporation team.,2025-07-29,New
"Electricity Issue at Ward 9, Central Zone - 917","Complaint regarding electricity in Ward 9, Central Zone.",Electricity,Urban Development Authority,"Frequent power cuts without notice in Ward 9, Central Zone.","Ward 9, Central Zone",High,None,Assigned to Urban Development Authority team.,2025-08-31,In Progress
"Waste Management Issue at Sector 12, Heritage Colony - 156","Complaint regarding waste management in Sector 12, Heritage Colony.",Waste Management,Sanitation Department,"Garbage collection truck hasn't visited Sector 12, Heritage Colony for a week.","Sector 12, Heritage Colony",Medium,None,Assigned to Sanitation Department team.,2026-02-05,Resolved
"Drainage Issue at Ward 8, Central Zone - 634","Complaint regarding drainage in Ward 8, Central Zone.",Drainage,Municipal Corporation,"Monsoon preparation for cleaning drains not started in Ward 8, Central Zone.","Ward 8, Central Zone",Medium,evidence_617.jpg,Assigned to Municipal Corporation team.,2025-06-10,Escalated
"Street Lighting Issue at Sector 10, Heritage Colony - 752","Complaint regarding street lighting in Sector 10, Heritage Colony.",Street Lighting,Electricity Board,"Dark spots on the road due to non-functional lights in Sector 10, Heritage Colony.","Sector 10, Heritage Colony",Urgent,None,Assigned to Electricity Board team.,2025-03-27,In Progress
"Roads & Infrastructure Issue at Sector 18, Heritage Colony - 272","Complaint regarding roads & infrastructure in Sector 18, Heritage Colony.",Roads & Infrastructure,Urban Development Authority,"Major potholes on the main road of Sector 18, Heritage Colony.","Sector 18, Heritage Colony",Medium,None,Assigned to Urban Development Authority team.,2025-06-02,Resolved
"Education Issue at Sector 14, Heritage Colony - 469","Complaint regarding education in Sector 14, Heritage Colony.",Education,Education Department,"School building in Sector 14, Heritage Colony needs urgent structural repairs.","Sector 14, Heritage Colony",High,None,Assigned to Education Department team.,2025-08-26,New
"Street Lighting Issue at Sector 18, Heritage Colony - 735","Complaint regarding street lighting in Sector 18, Heritage Colony.",Street Lighting,Municipal Corporation,"Flickering street light causing disturbance in Sector 18, Heritage Colony.","Sector 18, Heritage Colony",High,None,Assigned to Municipal Corporation team.,2026-01-18,New
"Sanitation Issue at Garden City, Phase 3 - 232","Complaint regarding sanitation in Garden City, Phase 3.",Sanitation,Municipal Corporation,"Sewage overflow reported in the back alley of Garden City, Phase 3.","Garden City, Phase 3",Low,None,Assigned to Municipal Corporation team.,2026-01-25,Resolved
"Waste Management Issue at Ward 1, Central Zone - 146","Complaint regarding waste management in Ward 1, Central Zone.",Waste Management,Sanitation Department,"Biomedical waste found dumped in the residential area of Ward 1, Central Zone.","Ward 1, Central Zone",High,None,Assigned to Sanitation Department team.,2026-03-03,In Progress
